edad	grup
50	1
51	1
52	1
53	1
54	1
55	1
56	1
57	1
58	1
59	1
60	1
61	1
62	1
63	1
64	1
65	3
66	3
67	3
68	3
69	3
70	3
71	3
72	3
73	3
74	3
75	5
76	5
77	5
78	5
79	5
80	5
81	5
82	5
83	5
84	5
85	7
86	7
87	7
88	7
89	7
90	7
91	7
92	7
93	7
94	7
95	7
96	7
97	7
98	7
99	7
100	7
